"Federal provinces";"Unemployed total";"Unemployed men";"Unemployed women";"Unemployment rate total (in %)";"Unemployment rate men (in %)";"Unemployment rate women (in %)"
"Austria";"283700";"152300";"131400";"6,2";"6,3";"6,1"
"Burgenland";"7400";"3300";"4100";"5,1";"4,4";"6"
"Carinthia";"15200";"8600";"6600";"5,6";"5,9";"5,2"
"Lower Austria";"43700";"23600";"20200";"5,1";"5,2";"4,9"
"Upper Austria";"29400";"15900";"13500";"3,8";"3,8";"3,7"
"Salzburg";"13500";"6900";"6600";"4,6";"4,5";"4,7"
"Styria";"27100";"14000";"13100";"4,3";"4,2";"4,5"
"Tyrol";"19000";"8700";"10200";"4,8";"4,2";"5,5"
"Vorarlberg";"8500";"4700";"3800";"4,1";"4,2";"4"
"Vienna";"119800";"66500";"53300";"12,1";"12,7";"11,4"