"Federal provinces";"Employed total";"Employed men";"Employed women";"Employment rate total (in %)";"Employment rate men (in %)";"Employment rate women (in %)"
"Austria";"4306000";"2288800";"2017300";"72,4";"76,7";"68,1"
"Burgenland";"137300";"73200";"64100";"71,8";"76,4";"67,2"
"Carinthia";"257700";"137600";"120100";"70,7";"75,3";"66,1"
"Lower Austria";"820000";"431600";"388400";"73,9";"77,6";"70,2"
"Upper Austria";"755900";"407200";"348700";"76,3";"81,3";"71,2"
"Salzburg";"282300";"147800";"134500";"75,5";"79,5";"71,6"
"Styria";"600800";"322900";"277900";"72,9";"77,3";"68,3"
"Tyrol";"377000";"201100";"175900";"74,1";"78,9";"69,3"
"Vorarlberg";"202000";"109000";"93000";"76,2";"81,7";"70,8"
"Vienna";"873100";"458300";"414700";"66,2";"69,6";"62,7"